,formula,classifier,rel_l2_distance,success
0,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),False,0.030332418543539234,False
1,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),True,0.04182322019112573,False
2,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,False,0.5071911777676112,False
3,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,True,0.5266849362679717,False
4,-2.154*sin(3.248*x0**2) - 1.467,False,0.5022021957288721,False
5,-2.154*sin(3.248*x0**2) - 1.467,True,7.477194151372832e-06,True
6,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),False,0.9090707123381446,False
7,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),True,0.0018793024594468337,False
8,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),False,0.26676175342569297,False
9,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),True,1.1064452247562195e-07,True
10,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),False,0.2656069824714891,False
11,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),True,0.07187775890027699,False
12,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,False,2.4316555692404574e-06,True
13,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,True,7.837525567624061e-07,True
14,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,False,0.5186836229151616,False
15,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,True,0.552375067950806,False
16,0.859*sin(0.268*x0 + 4.791),False,0.011333960417654478,False
17,0.859*sin(0.268*x0 + 4.791),True,7.327195992289668e-06,True
18,1.564 - 0.26*x0**2,False,9.415006366719235e-08,True
19,1.564 - 0.26*x0**2,True,7.471948290607931e-08,True
20,3.579*x0**2 + 4.854,False,6.986697353749174e-08,True
21,3.579*x0**2 + 4.854,True,6.986697471402386e-08,True
22,1.57*x0*sin(0.959*x0) + 3.464,False,0.11385214405529158,False
23,1.57*x0*sin(0.959*x0) + 3.464,True,1.9449701068808333e-07,True
24,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),False,0.36298425062000955,False
25,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),True,0.018196416299686314,False
26,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),False,0.3039472009498388,False
27,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),True,0.35313773431950607,False
28,5.063*x0,False,5.180348237490636e-08,True
29,5.063*x0,True,4.4263026273425014e-08,True
30,-4.131*x0**2 + 3.055*x0,False,6.881240404823935e-08,True
31,-4.131*x0**2 + 3.055*x0,True,6.841030466393752e-08,True
32,-3.798*x0,False,6.17990160023516e-08,True
33,-3.798*x0,True,4.395135273369773e-08,True
34,4.511*x0*sin(2.293*x0),False,0.9217929462408936,False
35,4.511*x0*sin(2.293*x0),True,0.6764758650227071,False
36,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,False,0.701764028833547,False
37,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,True,0.9817065859783447,False
38,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,False,0.024411951535785386,False
39,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,True,0.032403488745110655,False
