,formula,classifier,rel_l2_distance,success
0,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),False,3.3286850916484376e-07,True
1,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),True,3.59301651699325e-07,True
2,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,False,0.00024260936293951467,False
3,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,True,7.461797373923263e-08,True
4,-1.375*x0,False,6.482529125130483e-08,True
5,-1.375*x0,True,3.392629990381737e-08,True
6,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),False,0.1441658874355995,False
7,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),True,0.15027435070718434,False
8,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),False,0.33379893318811754,False
9,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),True,0.7942392247661731,False
10,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),False,0.4600707981795261,False
11,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),True,0.7315160986860169,False
12,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),False,1.7971089365578001e-06,True
13,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),True,7.634547435950987e-07,True
14,0.184*x0,False,3.887169106206119e-08,True
15,0.184*x0,True,3.871506323089594e-08,True
16,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),False,7.990546744898363e-08,True
17,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),True,7.672827866500027e-08,True
18,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),False,0.046131097930283756,False
19,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),True,0.00021046761656756173,False
20,5.56300000000000,False,7.377276469433963e-08,True
21,5.56300000000000,True,0.0,True
22,4.276*x0 + 2.025*sin(3.93*x0),False,0.00019375784943582918,False
