,formula,classifier,rel_l2_distance,success
0,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),False,0.030468926815390433,False
1,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),True,9.671703218293825e-08,True
2,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,False,0.0004722009498702165,False
3,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,True,3.547419054776661e-06,True
4,-2.154*sin(3.248*x0**2) - 1.467,False,0.6221113110604661,False
5,-2.154*sin(3.248*x0**2) - 1.467,True,7.476841865531592e-06,True
6,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),False,0.533837763925839,False
7,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),True,0.0018795829343934494,False
8,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),False,0.04513694882658008,False
9,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),True,1.1132157011023077e-07,True
10,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),False,0.32413741095487386,False
11,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),True,0.07187773184131759,False
12,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,False,5.300226035258015e-05,True
13,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,True,7.840566136372873e-07,True
14,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,False,0.537270351364842,False
15,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,True,0.5956083160574198,False
16,0.859*sin(0.268*x0 + 4.791),False,0.0001320783912210478,False
17,0.859*sin(0.268*x0 + 4.791),True,7.338170649830064e-06,True
18,1.564 - 0.26*x0**2,False,1.1053180092771337e-07,True
19,1.564 - 0.26*x0**2,True,7.471948285389829e-08,True
20,3.579*x0**2 + 4.854,False,6.986696659311887e-08,True
21,3.579*x0**2 + 4.854,True,6.986696818527374e-08,True
22,1.57*x0*sin(0.959*x0) + 3.464,False,0.09724736972327434,False
23,1.57*x0*sin(0.959*x0) + 3.464,True,1.8929140966379738e-07,True
24,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),False,0.3623579969562283,False
25,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),True,0.01814213502986142,False
26,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),False,0.27577989907970185,False
27,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),True,0.3357229963422652,False
28,5.063*x0,False,4.776050087879924e-08,True
29,5.063*x0,True,4.426302684012366e-08,True
30,-4.131*x0**2 + 3.055*x0,False,6.843704889250871e-08,True
31,-4.131*x0**2 + 3.055*x0,True,6.841030155522032e-08,True
32,-3.798*x0,False,4.814687876237712e-08,True
33,-3.798*x0,True,4.3951350125482935e-08,True
34,4.511*x0*sin(2.293*x0),False,0.7126113657219624,False
35,4.511*x0*sin(2.293*x0),True,6.563335370787247e-07,True
36,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,False,0.7017056458262109,False
37,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,True,1.8986297598674456e-06,True
38,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,False,2.29967511047547e-07,True
39,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,True,2.2423071112080831e-07,True
