,formula,classifier,rel_l2_distance,success
0,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),False,0.030197564927095133,False
1,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),True,0.04180909325841419,False
2,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,False,0.3941753629433534,False
3,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,True,0.5158620307088043,False
4,-2.154*sin(3.248*x0**2) - 1.467,False,7.778957629272608e-06,True
5,-2.154*sin(3.248*x0**2) - 1.467,True,7.477289997940326e-06,True
6,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),False,0.664263503609971,False
7,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),True,0.0018790423777056112,False
8,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),False,0.04206886212441974,False
9,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),True,1.1227970926102143e-07,True
10,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),False,0.5796883410726758,False
11,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),True,0.07187772725713017,False
12,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,False,0.05353565779897118,False
13,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,True,7.837524618153525e-07,True
14,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,False,0.4172532829617436,False
15,-0.951*x0*sin(3.437*x0**2 + 1.66*x0) + 3.811,True,0.5487213863251678,False
16,0.859*sin(0.268*x0 + 4.791),False,0.00013538075985446689,False
17,0.859*sin(0.268*x0 + 4.791),True,8.239319453680983e-07,True
18,1.564 - 0.26*x0**2,False,7.62842327586526e-08,True
19,1.564 - 0.26*x0**2,True,7.471948274609006e-08,True
20,3.579*x0**2 + 4.854,False,6.986696170235144e-08,True
21,3.579*x0**2 + 4.854,True,6.986698710781012e-08,True
22,1.57*x0*sin(0.959*x0) + 3.464,False,1.760695413949722e-05,True
23,1.57*x0*sin(0.959*x0) + 3.464,True,1.8912583426656776e-07,True
24,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),False,0.007946814392287489,False
25,6.206*x0*sin(0.412*x0**2) - 0.112593934117252*sin(0.412*x0**2)*sqrt(Abs(x0**2)),True,0.018137473800655494,False
26,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),False,0.2726649926395003,False
27,-0.65*x0**2 - 3.033*x0*sin(-1.23*x0**2 + 3.012*x0 + 4.665),True,0.3293982660639309,False
28,5.063*x0,False,6.40524569698289e-08,True
29,5.063*x0,True,4.426302634259463e-08,True
30,-4.131*x0**2 + 3.055*x0,False,6.841030542625247e-08,True
31,-4.131*x0**2 + 3.055*x0,True,6.841030427582829e-08,True
32,-3.798*x0,False,4.730920630753561e-08,True
33,-3.798*x0,True,4.3951350480647774e-08,True
34,4.511*x0*sin(2.293*x0),False,7.228637197351151e-06,True
35,4.511*x0*sin(2.293*x0),True,6.565109177125685e-07,True
36,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,False,0.7003077504750527,False
37,4.622*x0*sin(7.451*x0 - 0.343) - 3.283,True,1.8988605733522312e-06,True
38,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,False,8.137548614203534e-06,True
39,-0.317*sin(-2.351*x0**2 + 1.448*x0 + 2.344) - 6.667,True,0.026668712084653462,False
