,formula,classifier,rel_l2_distance,success
0,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),False,0.2869722934462839,False
1,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),True,3.5659386485031894e-07,True
2,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,False,4.493356690269787e-07,True
3,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,True,9.714242105715925e-08,True
4,-1.375*x0,False,4.3710373787318946e-08,True
5,-1.375*x0,True,3.39262999215813e-08,True
6,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),False,0.12969405460011257,False
7,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),True,0.15092203313178557,False
8,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),False,0.49386441658789887,False
9,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),True,0.6256594186060046,False
10,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),False,0.7372491510984998,False
11,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),True,0.02416348474150986,False
12,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),False,3.559570685891026e-05,True
13,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),True,0.03506528384361609,False
14,0.184*x0,False,3.8702556243268104e-08,True
15,0.184*x0,True,3.8715063246441175e-08,True
16,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),False,9.804267984102697e-08,True
17,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),True,7.35770105092065e-08,True
18,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),False,0.09173332054197954,False
19,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),True,0.09670885373175685,False
20,5.56300000000000,False,1.1848177481227812e-07,True
21,5.56300000000000,True,0.0,True
22,4.276*x0 + 2.025*sin(3.93*x0),False,0.04875675338828758,False
23,4.276*x0 + 2.025*sin(3.93*x0),True,5.8359871295937916e-08,True
24,0.653*x0,False,8.825483294427797e-08,True
25,0.653*x0,True,4.135446696298576e-08,True
26,1.357*sin(4.072*x0**2 + 1.044),False,0.8409608396281562,False
27,1.357*sin(4.072*x0**2 + 1.044),True,1.0777400560891353e-05,True
28,-0.64*x0*sin(6.289*x0**2),False,0.6337950750042308,False
29,-0.64*x0*sin(6.289*x0**2),True,2.81338370532424e-05,True
30,-0.528*x0**2 - 0.601*sin(3.249*x0**2),False,6.542557015590886e-07,True
31,-0.528*x0**2 - 0.601*sin(3.249*x0**2),True,1.9218100909657756e-07,True
32,-6.21*sin(1.577*x0**2 + 0.474*x0)*sqrt(Abs(1.442*x0**2 + 0.934*x0 + 1.045)) + 0.612*sin(1.577*x0**2 + 0.474*x0),False,0.7301192522280744,False
33,-6.21*sin(1.577*x0**2 + 0.474*x0)*sqrt(Abs(1.442*x0**2 + 0.934*x0 + 1.045)) + 0.612*sin(1.577*x0**2 + 0.474*x0),True,0.9361792423161418,False
34,5.072*sin(3.342*x0 - 4.031)*sqrt(Abs(0.539*x0**2 - 1.074*x0)),False,0.00263655118445528,False
35,5.072*sin(3.342*x0 - 4.031)*sqrt(Abs(0.539*x0**2 - 1.074*x0)),True,1.720702530396765e-06,True
36,-3.653*sin(2.307*x0**2 - 2.944),False,0.7757224868231547,False
37,-3.653*sin(2.307*x0**2 - 2.944),True,7.3805742026357655e-06,True
38,-3.00775414005201*x0*sqrt(Abs(x0**2)) - 2.751*sin(0.231*x0**2 - 1.3),False,8.189261347198414e-08,True
39,-3.00775414005201*x0*sqrt(Abs(x0**2)) - 2.751*sin(0.231*x0**2 - 1.3),True,7.871948314040776e-08,True
