,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_II_13_17,0.002483540972010723,0.005540720085903901,0.0,4813.12125
1,feynman_II_13_23,9.433162114573209e-05,0.00010613141910281023,0.25,3624.26825
2,feynman_II_13_34,0.00010501435844490896,0.00014134642711274509,0.25,3599.82825
3,feynman_II_15_4,7.898275755342883e-07,8.626842720619567e-07,1.0,356.63725
4,feynman_II_15_5,8.636503981731231e-07,9.168655978761168e-07,1.0,356.59675
5,feynman_II_21_32,0.0013662079493793823,0.003583454961845705,0.0,4806.42
6,feynman_II_24_17,0.0005735827823170871,0.000587762670023091,0.0,4507.7855
7,feynman_II_27_16,1.0774989308063917e-07,1.0352445110004707e-07,1.0,4.159
8,feynman_II_27_18,1.08064995990062e-07,1.0540984965428235e-07,1.0,3.07
9,feynman_II_2_42,1.1214231871343857e-05,1.4015988135801496e-05,1.0,34.03075
10,feynman_II_34_11,2.952257296647737e-05,2.975197426325746e-05,1.0,21.338
11,feynman_II_34_2,1.1551526315149334e-07,1.1356142555868006e-07,1.0,4.14225
12,feynman_II_34_29a,9.506284818069733e-06,9.78766871993232e-06,1.0,12.0435
13,feynman_II_34_29b,3.781867058630831e-05,4.411518678157013e-05,0.75,1238.27275
14,feynman_II_34_2a,7.984549624606708e-06,7.8408164714617e-06,1.0,12.91275
15,feynman_II_35_18,0.004021721643730555,0.005088771614104322,0.0,4843.7585
16,feynman_II_35_21,0.004323374211402547,0.0053474122529314685,0.0,4833.1255
17,feynman_II_36_38,0.006047423083179727,0.021195585599766073,0.0,4928.971
18,feynman_II_37_1,9.273936464439342e-08,9.498125801348985e-08,1.0,4.16175
19,feynman_II_38_14,3.0548612635049315e-06,3.0297195304830454e-06,1.0,4.717
