,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,seed,relative_l2_train,relative_l2_val,success,training_time
23,10,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,9317.757475074173,8224.750621714129,0.4666666666666667,18.541600000000003
24,10,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,8704.61013633327,8494.613529125654,0.5333333333333333,26.547266666666665
25,10,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.16016436105017032,378.62950391965643,0.5333333333333333,28.474066666666666
26,10,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,0.09940970808977084,2464.0323182693346,0.6,26.87813333333333
27,10,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,0.10375207208980954,2475.317632618437,0.4666666666666667,22.131933333333333
28,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,2544.042790837974,2563.845249460964,0.6666666666666666,50.2
29,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.15428161515637273,3726.9188853762266,0.5333333333333333,53.03986666666667
30,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.10667518644564691,25484.99051761771,0.4666666666666667,38.92666666666667
31,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,0.10409119201423754,8735.41133543696,0.7333333333333333,50.38426666666667
32,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.0963659178575724,378.5638560856612,0.6666666666666666,51.400333333333336
33,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,0.09867575606837081,2464.0316074822217,0.6,52.49953333333333
34,20,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,0.10237628532876743,2475.294832032195,0.7333333333333333,41.074466666666666
35,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.08837485096493085,512.180831808346,0.6666666666666666,131.0168
36,50,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.09019284776527499,3726.8514346685965,0.6666666666666666,131.60726666666667
