,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_4_33,0.891876014528869,7.562687635096689,0.0,3.8904285714285716
1,feynman_III_8_54,1.6557460241088988,1.6869424508008193,0.5102040816326531,13.307612244897959
2,feynman_II_15_4,0.04765948477161017,0.05089342219568643,0.6122448979591837,40.475142857142856
3,feynman_II_24_17,0.013941556852970455,0.014510512610017642,0.04081632653061224,47.06963265306122
4,feynman_II_34_29b,0.020190334253334295,0.2029786489430137,0.7959183673469388,110.60883673469387
5,feynman_I_12_5,7.713836274970604e-08,7.737060511402961e-08,1.0,7.751571428571428
6,feynman_I_18_4,0.020650105110950685,0.10369652066569698,0.8775510204081632,18.307061224489797
7,feynman_I_38_12,0.01666247587277946,0.4870330440847845,0.40816326530612246,89.50493877551021
8,feynman_I_39_22,0.025105591720886708,0.19020795036774021,0.8571428571428571,46.678612244897955
9,feynman_I_40_1,347221.2131411873,433570.5619542718,0.0,3.567918367346939
10,feynman_I_43_31,2.920810735541538e-05,2.8865233651036892e-05,0.9795918367346939,17.389857142857146
11,feynman_I_8_14,0.09360985073497664,0.09994632106164136,0.3673469387755102,26.552979591836735
12,feynman_I_9_18,0.009227583712857021,0.4101557368040581,0.7142857142857143,400.88828571428576
13,feynman_test_17,1.122807628544786,1.1166402734563963,0.0,2.04269387755102
14,feynman_test_18,0.023093490072367752,0.5453671657756308,0.46938775510204084,147.9251632653061
