,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_I_6_2,0.02635614130866992,0.0280550838332868,0.0,3419.763
1,feynman_I_6_2a,0.014523305949085075,0.015053216195519572,1.0,55.645
2,feynman_I_6_2b,0.03494185533410786,0.03377667781842066,0.0,4418.619
3,feynman_I_8_14,0.023609719081917557,0.02357900992939031,0.0,4815.088
4,feynman_I_9_18,0.02411289737952088,0.02701475442843579,0.0,4888.718
5,feynman_test_1,0.011024393686247476,0.02195963161670292,0.0,4893.212
6,feynman_test_10,0.049715708715445533,0.04985386235005508,0.0,4507.139
7,feynman_test_11,0.019274661134082525,0.021413489327894452,0.0,4806.797
8,feynman_test_12,0.014582875337837059,0.01471605132770728,1.0,84.561
9,feynman_test_13,0.035282774186737136,0.046941160505407524,0.0,4810.93
10,feynman_test_14,0.10466471471080717,0.19248768911049938,0.0,4805.481
11,feynman_test_15,0.026023813874984727,0.029052704432988696,0.0,4831.886
12,feynman_test_16,0.020759196266591184,0.021592548538860466,0.0,4850.16
