,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_10_19,0.02410671834009743,0.02482473373999105,0.0,4849.839
1,feynman_III_12_43,0.02061907065951935,0.02041432416501931,0.0,2986.122
2,feynman_III_13_18,0.01343324518618467,0.013117034998719738,1.0,26.376
3,feynman_III_14_14,0.014841403026070135,0.015599265253497115,0.0,4827.271
4,feynman_III_15_12,0.016071284017799788,0.015754545321193254,0.0,3972.248
5,feynman_III_15_14,0.013077504590236488,0.013928065107010824,1.0,39.013
6,feynman_III_15_27,0.015344606748386516,0.015118003083405742,0.0,3938.038
7,feynman_III_17_37,0.010617456050526808,0.010319617560362503,1.0,364.853
8,feynman_III_19_51,0.025551102053033774,0.055767554188182494,0.0,4813.149
9,feynman_III_21_20,0.014697737232240615,0.014884367193903665,1.0,17.799
10,feynman_III_4_32,0.014590687330415866,0.014488546399814199,1.0,36.596
11,feynman_III_4_33,0.019277601771575174,0.019157965300413485,0.0,4817.172
12,feynman_III_7_38,0.016063905177289436,0.016031133954952467,0.0,3930.955
13,feynman_III_8_54,0.01662215229041656,0.016931143788654093,0.0,4027.472
14,feynman_III_9_52,0.0378112654839105,0.047562189315461696,0.0,4891.663
15,feynman_II_10_9,0.016337411622413183,0.016657926906699105,0.0,3904.929
16,feynman_II_11_20,0.01293746188670203,0.013021639542340133,1.0,79.953
17,feynman_II_11_27,0.014171375535057136,0.014285895457274832,1.0,58.991
18,feynman_II_11_28,0.04251598503336646,0.04642961588123951,0.0,3012.586
