,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_4_33,0.8372134883561495,0.9171360887631402,0.0,3723.738228571429
1,feynman_III_8_54,3.117594398179765,3.200248307441288,0.34285714285714286,8.475714285714284
2,feynman_II_15_4,0.07560691857765833,0.08048361959820134,0.0,66.10085714285714
3,feynman_II_24_17,0.027004187795788438,0.027777976452426176,0.0,46.021657142857144
4,feynman_II_34_29b,0.05567196952466417,3.3328361479306765,0.7142857142857143,34.972114285714284
5,feynman_I_12_5,7.71430200209047e-08,7.737236587754301e-08,1.0,0.4730857142857143
6,feynman_I_18_4,0.08019008521948241,1.7158455153953025,0.45714285714285713,13.049828571428572
7,feynman_I_38_12,0.10957531606787033,5.113114394908116,0.0,50.66874285714285
8,feynman_I_39_22,0.05487008710332021,1.524868771573101,0.6,18.534457142857143
9,feynman_I_40_1,0.7876257737554995,53411.39041830442,0.0,3527.625857142857
10,feynman_I_43_31,0.0008465667386825189,0.0008309271353566796,0.6571428571428571,4.414714285714285
11,feynman_I_8_14,0.11002484431039644,0.11417460672825012,0.2,17.46634285714286
12,feynman_I_9_18,2.5737890540355823,135.00275583958427,0.0,155.75802857142858
13,feynman_test_17,1.1066675387818812,1.101091685277071,0.0,6.411
14,feynman_test_18,1.3454166440834556,160.87051798838903,0.0,112.41997142857143
