,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,seed,model,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
14,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,123,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),(-0.029*x0 - 0.188*x1 + 0.127*x2 - 0.017*x3 - 3.986*exp((4.219*x0**2 + 1.152*x0*x1 - 4.953*x0*x2 - 2.125*x0*x3 + 0.176*x0 - 0.471*x1**2 + 0.54*x1*x2 + 6.364*x1*x3 + 7.275*x1 - 4.695*x2**2 - 8.348*x2*x3 - 4.598*x2 - 1.781*x3**2 + 3.119*x3 + 1.535)/(0.059*x0**2 + 0.327*x0*x1 - 0.002*x0*x2 + 0.559*x0*x3 + 0.231*x0 - 0.052*x1**2 + 0.404*x1*x2 - 0.331*x1*x3 + 0.288*x1 + 0.016*x2**2 + 0.192*x2*x3 + 0.03*x2 + 0.247*x3**2 - 0.01*x3 - 0.257)) + 0.021)/(-0.002*x0 - 0.016*x1 + 0.011*x2 - 0.002*x3 - 1.0*exp((4.219*x0**2 + 1.152*x0*x1 - 4.953*x0*x2 - 2.125*x0*x3 + 0.176*x0 - 0.471*x1**2 + 0.54*x1*x2 + 6.364*x1*x3 + 7.275*x1 - 4.695*x2**2 - 8.348*x2*x3 - 4.598*x2 - 1.781*x3**2 + 3.119*x3 + 1.535)/(0.059*x0**2 + 0.327*x0*x1 - 0.002*x0*x2 + 0.559*x0*x3 + 0.231*x0 - 0.052*x1**2 + 0.404*x1*x2 - 0.331*x1*x3 + 0.288*x1 + 0.016*x2**2 + 0.192*x2*x3 + 0.03*x2 + 0.247*x3**2 - 0.01*x3 - 0.257)) + 0.002),0.7555210079620367,0.9165754072024271,1.0052672200975863,0.12451990457352191,-0.010562183802717007,False,114.127,42.0,42.0,1.0052672200975863,-0.010562183802717007,0.3126175172685559,(-0.029*x0 - 0.188*x1 + 0.127*x2 - 0.017*x3 - 3.986*exp((4.219*x0**2 + 1.152*x0*x1 - 4.953*x0*x2 - 2.125*x0*x3 + 0.176*x0 - 0.471*x1**2 + 0.54*x1*x2 + 6.364*x1*x3 + 7.275*x1 - 4.695*x2**2 - 8.348*x2*x3 - 4.598*x2 - 1.781*x3**2 + 3.119*x3 + 1.535)/(0.059*x0**2 + 0.327*x0*x1 - 0.002*x0*x2 + 0.559*x0*x3 + 0.231*x0 - 0.052*x1**2 + 0.404*x1*x2 - 0.331*x1*x3 + 0.288*x1 + 0.016*x2**2 + 0.192*x2*x3 + 0.03*x2 + 0.247*x3**2 - 0.01*x3 - 0.257)) + 0.021)/(-0.002*x0 - 0.016*x1 + 0.011*x2 - 0.002*x3 - 1.0*exp((4.219*x0**2 + 1.152*x0*x1 - 4.953*x0*x2 - 2.125*x0*x3 + 0.176*x0 - 0.471*x1**2 + 0.54*x1*x2 + 6.364*x1*x3 + 7.275*x1 - 4.695*x2**2 - 8.348*x2*x3 - 4.598*x2 - 1.781*x3**2 + 3.119*x3 + 1.535)/(0.059*x0**2 + 0.327*x0*x1 - 0.002*x0*x2 + 0.559*x0*x3 + 0.231*x0 - 0.052*x1**2 + 0.404*x1*x2 - 0.331*x1*x3 + 0.288*x1 + 0.016*x2**2 + 0.192*x2*x3 + 0.03*x2 + 0.247*x3**2 - 0.01*x3 - 0.257)) + 0.002),26766
15,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,1234,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
16,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,1234,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
17,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,1234,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
18,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,1234,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
19,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,1234,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),(-0.071*x0 - 0.092*x1 + 0.442*x2 + 1.361*x3 - 0.613*exp((0.555*x0**2 - 0.65*x0*x1 + 1.202*x0*x2 - 0.4*x0*x3 - 0.347*x0 + 0.952*x1**2 + 1.699*x1*x2 - 1.331*x1*x3 + 3.033*x2**2 + 2.55*x2*x3 + 0.256*x2 - 0.137*x3**2 - 0.48)/(-0.18*x0**2 + 0.012*x0*x1 - 0.111*x0*x2 - 0.41*x0*x3 - 0.068*x0 - 0.092*x1**2 - 0.131*x1*x2 - 0.342*x1*x3 - 0.688*x1 - 0.012*x2**2 - 0.123*x2*x3 - 0.084*x2 - 0.241*x3**2 - 0.292*x3 - 0.032)) - 1.29)/(-0.003*x0 - 0.004*x1 - 0.05*x2 - 0.014*x3 + 0.777*exp((0.555*x0**2 - 0.65*x0*x1 + 1.202*x0*x2 - 0.4*x0*x3 - 0.347*x0 + 0.952*x1**2 + 1.699*x1*x2 - 1.331*x1*x3 + 3.033*x2**2 + 2.55*x2*x3 + 0.256*x2 - 0.137*x3**2 - 0.48)/(-0.18*x0**2 + 0.012*x0*x1 - 0.111*x0*x2 - 0.41*x0*x3 - 0.068*x0 - 0.092*x1**2 - 0.131*x1*x2 - 0.342*x1*x3 - 0.688*x1 - 0.012*x2**2 - 0.123*x2*x3 - 0.084*x2 - 0.241*x3**2 - 0.292*x3 - 0.032)) + 0.627),0.05312390348691901,0.05421148441259002,0.053277335074965314,0.9971582839644931,0.9971615255673099,False,112.11,42.0,42.0,0.053277335074965314,0.9971615255673099,0.997058585272354,(-0.071*x0 - 0.092*x1 + 0.442*x2 + 1.361*x3 - 0.613*exp((0.555*x0**2 - 0.65*x0*x1 + 1.202*x0*x2 - 0.4*x0*x3 - 0.347*x0 + 0.952*x1**2 + 1.699*x1*x2 - 1.331*x1*x3 + 3.033*x2**2 + 2.55*x2*x3 + 0.256*x2 - 0.137*x3**2 - 0.48)/(-0.18*x0**2 + 0.012*x0*x1 - 0.111*x0*x2 - 0.41*x0*x3 - 0.068*x0 - 0.092*x1**2 - 0.131*x1*x2 - 0.342*x1*x3 - 0.688*x1 - 0.012*x2**2 - 0.123*x2*x3 - 0.084*x2 - 0.241*x3**2 - 0.292*x3 - 0.032)) - 1.29)/(-0.003*x0 - 0.004*x1 - 0.05*x2 - 0.014*x3 + 0.777*exp((0.555*x0**2 - 0.65*x0*x1 + 1.202*x0*x2 - 0.4*x0*x3 - 0.347*x0 + 0.952*x1**2 + 1.699*x1*x2 - 1.331*x1*x3 + 3.033*x2**2 + 2.55*x2*x3 + 0.256*x2 - 0.137*x3**2 - 0.48)/(-0.18*x0**2 + 0.012*x0*x1 - 0.111*x0*x2 - 0.41*x0*x3 - 0.068*x0 - 0.092*x1**2 - 0.131*x1*x2 - 0.342*x1*x3 - 0.688*x1 - 0.012*x2**2 - 0.123*x2*x3 - 0.084*x2 - 0.241*x3**2 - 0.292*x3 - 0.032)) + 0.627),26481
20,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,12345,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
21,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,12345,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
22,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,12345,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0,1.0,1.0,1.0,0.0,0.0,False,4800.0,0.0,0.0,1.0,0.0,0.0,0,1000000
23,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,12345,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,feynman_III_4_33,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),(-0.092*x0 - 1.044*x1 - 1.1*x2 - 1.616*x3 - 0.69*exp((-0.004*x0**2 + 0.014*x0*x1 + 0.021*x0*x2 + 0.016*x0*x3 + 0.003*x0 + 0.008*x1**2 + 0.027*x1*x2 + 0.024*x1*x3 + 0.862*x1 + 0.077*x2**2 - 0.018*x2*x3 - 0.008*x2 + 0.166*x3**2 + 0.135*x3 + 0.086)/(-0.003*x0**2 - 0.056*x0*x1 - 0.005*x0*x2 - 0.006*x0*x3 - 0.01*x0 + 0.02*x1**2 + 0.038*x1*x2 + 0.035*x1*x3 - 0.003*x1 + 0.002*x2**2 + 0.982*x2*x3 + 0.104*x2 + 0.082*x3**2 - 0.105*x3 + 0.023)) + 4.12)/(0.005*x0 + 0.003*x1 + 0.023*x2 + 0.04*x3 - 0.904*exp((-0.004*x0**2 + 0.014*x0*x1 + 0.021*x0*x2 + 0.016*x0*x3 + 0.003*x0 + 0.008*x1**2 + 0.027*x1*x2 + 0.024*x1*x3 + 0.862*x1 + 0.077*x2**2 - 0.018*x2*x3 - 0.008*x2 + 0.166*x3**2 + 0.135*x3 + 0.086)/(-0.003*x0**2 - 0.056*x0*x1 - 0.005*x0*x2 - 0.006*x0*x3 - 0.01*x0 + 0.02*x1**2 + 0.038*x1*x2 + 0.035*x1*x3 - 0.003*x1 + 0.002*x2**2 + 0.982*x2*x3 + 0.104*x2 + 0.082*x3**2 - 0.105*x3 + 0.023)) + 0.425),0.00917670660057072,0.00947849727015563,0.009554618276312479,0.9999083951412537,0.999908709269594,False,54.938,42.0,42.0,0.009554618276312479,0.999908709269594,0.9999108345641126,(-0.092*x0 - 1.044*x1 - 1.1*x2 - 1.616*x3 - 0.69*exp((-0.004*x0**2 + 0.014*x0*x1 + 0.021*x0*x2 + 0.016*x0*x3 + 0.003*x0 + 0.008*x1**2 + 0.027*x1*x2 + 0.024*x1*x3 + 0.862*x1 + 0.077*x2**2 - 0.018*x2*x3 - 0.008*x2 + 0.166*x3**2 + 0.135*x3 + 0.086)/(-0.003*x0**2 - 0.056*x0*x1 - 0.005*x0*x2 - 0.006*x0*x3 - 0.01*x0 + 0.02*x1**2 + 0.038*x1*x2 + 0.035*x1*x3 - 0.003*x1 + 0.002*x2**2 + 0.982*x2*x3 + 0.104*x2 + 0.082*x3**2 - 0.105*x3 + 0.023)) + 4.12)/(0.005*x0 + 0.003*x1 + 0.023*x2 + 0.04*x3 - 0.904*exp((-0.004*x0**2 + 0.014*x0*x1 + 0.021*x0*x2 + 0.016*x0*x3 + 0.003*x0 + 0.008*x1**2 + 0.027*x1*x2 + 0.024*x1*x3 + 0.862*x1 + 0.077*x2**2 - 0.018*x2*x3 - 0.008*x2 + 0.166*x3**2 + 0.135*x3 + 0.086)/(-0.003*x0**2 - 0.056*x0*x1 - 0.005*x0*x2 - 0.006*x0*x3 - 0.01*x0 + 0.02*x1**2 + 0.038*x1*x2 + 0.035*x1*x3 - 0.003*x1 + 0.002*x2**2 + 0.982*x2*x3 + 0.104*x2 + 0.082*x3**2 - 0.105*x3 + 0.023)) + 0.425),13009
