,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_10_19,8.493453194857334e-08,8.886525159440468e-08,1.0,520.259
1,feynman_III_12_43,7.55723452091555e-08,7.622648779524741e-08,1.0,7.153
2,feynman_III_13_18,9.717140271302406e-08,1.0204332226269341e-07,1.0,49.514
3,feynman_III_14_14,0.0021158991713942114,0.0027533805092627116,0.0,4951.768
4,feynman_III_15_12,4.086157669831581e-06,4.275419180513315e-06,1.0,571.586
5,feynman_III_15_14,0.0007466351761440463,0.0009932432388011214,0.0,3801.894
6,feynman_III_15_27,7.377427581207615e-08,7.178821436090752e-08,1.0,55.077
7,feynman_III_17_37,5.148668502128223e-08,5.305513674159582e-08,1.0,736.04
8,feynman_III_19_51,0.017135958691084856,0.06779435980782096,0.0,4937.117
9,feynman_III_21_20,7.391096620472486e-08,7.86240596131334e-08,1.0,48.773
10,feynman_III_4_32,0.0005337388031858591,0.0007058217361425027,0.0,4836.403
11,feynman_III_4_33,0.0001361274067068339,0.0001493492625409747,0.0,4831.836
12,feynman_III_7_38,7.543293206460543e-08,7.53248160612801e-08,1.0,23.163
13,feynman_III_8_54,2.0313314774870166e-08,2.0976455133664335e-08,1.0,264.669
14,feynman_III_9_52,0.04873775255913126,0.06200414697298571,0.0,4860.89
15,feynman_II_10_9,6.953945826238334e-08,6.78664688265043e-08,1.0,54.748
16,feynman_II_11_20,9.995385845902293e-05,0.0001606501499245155,0.0,4865.336
17,feynman_II_11_27,1.4953657309584114e-05,1.725724036463071e-05,1.0,132.138
