,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_II_35_21,0.003976375504465533,0.004666831215978698,0.0,5046.918
1,feynman_II_36_38,0.0036529456847231626,0.01697530606926945,0.0,4841.916
2,feynman_II_37_1,7.859240832723807e-08,7.897985648931237e-08,1.0,10.454
3,feynman_II_38_14,7.230110887647829e-08,6.91750889488534e-08,1.0,9.954
4,feynman_II_38_3,8.115095602003369e-08,8.06127102100311e-08,1.0,44.912
5,feynman_II_3_24,2.8634241380218486e-07,2.957971333364528e-07,1.0,43.464
6,feynman_II_4_23,6.705438569102849e-08,6.954470830388972e-08,1.0,63.403
7,feynman_II_6_11,0.0012657042545150842,0.0020590056500861148,0.0,4808.253
8,feynman_II_6_15a,0.003437934943880702,0.00874045043060992,0.0,4807.983
9,feynman_II_6_15b,0.00952284329412487,0.014580953930060099,0.0,4914.762
10,feynman_II_8_31,1.1004366688300707e-07,1.0487504893868335e-07,1.0,8.579
11,feynman_II_8_7,2.108939105844179e-05,2.5868326632240945e-05,1.0,68.247
12,feynman_I_10_7,7.754939221670004e-05,8.049540269108592e-05,1.0,826.251
13,feynman_I_11_19,7.319619828711201e-08,7.753623325505393e-08,1.0,53.149
14,feynman_I_12_1,7.696538362061335e-08,7.707856520171192e-08,1.0,8.704
15,feynman_I_12_11,2.110395593398421e-07,2.39670521136071e-07,1.0,4104.279
16,feynman_I_12_2,0.00025611484253306024,0.00048016187132396155,0.0,4821.152
17,feynman_I_12_4,3.540758547173507e-05,4.0803003086125724e-05,1.0,96.435
