,Index,maximal_n_functions,maxiter1,target_noise,feature_noise,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,dataset,target_formula,estimated_formula,mse_train,relative_l2_val,mse_test,r_squared_val,r_squared_test,success,training time (s),n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations,r2_test,n_active_coefficients_final,estimated_formula_final,symbolic_solution,accuracy_solution_final,model_size,simplified_formulas,algorithm,data_group,training time (hr),rmse_test,log_mse_test,accuracy_solution,accuracy_solution_rate,symbolic_solution_rate,accuracy_solution_rate_(%),symbolic_solution_rate_(%)
0,120,1,100,0.0,0.0,0.0001,4800,1000000,True,10,feynman_III_10_19,mom*sqrt(Bx**2+By**2+Bz**2),1.775*x0*sqrt(Abs(0.317*x1**2 + 0.317*x2**2 + 0.317*x3**2)),9.496438519922649e-08,9.33479794450387e-08,9.371358694061122e-08,0.999999999999991,0.9999999999999912,True,296.019,35,4,8.749715888123248e-08,0.9999999999999925,0.9999999999999925,1.775*x0*sqrt(Abs(0.317*x1**2 + 0.317*x2**2 + 0.317*x3**2)),150085,0.9999999999999925,4,1.775*x0*sqrt(Abs(0.317*x1**2 + 0.317*x2**2 + 0.317*x3**2)),True,True,15,0.999373866478407*x0*sqrt(Abs(x1**2 + x2**2 + x3**2)),ParFam,Feynman,0.0822275,0.0003061267497959158,9.371358249946904e-08,1.0,1.0,1.0,100.0,100.0
1,121,1,100,0.0,0.0,0.0001,4800,1000000,True,10,feynman_III_12_43,n*(h/(2*pi)),0.159*x0*x1,7.641251469321005e-08,7.622648779577696e-08,7.738282826027477e-08,0.999999999999994,0.999999999999994,True,4.522,13,1,7.738485448397775e-08,0.999999999999994,0.9999999999999942,0.159*x0*x1,3865,0.999999999999994,1,0.159*x0*x1,True,True,4,0.159*x0*x1,ParFam,Feynman,0.0012561111111111113,0.00027817769188106145,7.738282537328299e-08,1.0,1.0,1.0,100.0,100.0
2,122,1,100,0.0,0.0,0.0001,4800,1000000,True,10,feynman_III_13_18,2*E_n*d**2*k/(h/(2*pi)),12.566*x0*x1**2*x2/x3,1.0273057556536113e-07,1.0936764623684425e-07,1.1124307182793613e-07,0.9999999999999872,0.9999999999999876,True,28.986,71,2,1.0201964602938217e-07,0.9999999999999896,0.99999999999999,12.566*x0*x1**2*x2/x3,15969,0.9999999999999896,2,12.566*x0*x1**2*x2/x3,True,True,8,12.566*x0*x1**2*x2/x3,ParFam,Feynman,0.008051666666666667,0.00033353121567244066,1.1124306567776454e-07,1.0,1.0,1.0,100.0,100.0
