,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,normalization,time_limit,evaluations_limit,max_dataset_length,model,target_noise,feature_noise,seed,accuracy,maxiter1,maxiter2,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,path_pretrained,topk_predictions,enforce_function_iterate,procs,populations,population_size,ncycles_per_iteration,max_size,max_depth,iterations_udsr,accuracy_udsr,aif_nn_epochs,bf_try_time,bf_ops_file_type,polyfit_deg,max_input_points,max_number_bags,n_trees_to_refine,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,0,4,0,3,[1],[1],1,[],3,1,False,48,1000000,500,ParFamTorch,0.0,0.0,12345,0.0001,10,0,basinhopping,1,0.01,,BFGS,100,0.001,1,False,4,0,0,cpu,True,10,1e-05,Flexible dimension/full_19_big_training_sets/20240427_070711_5M/Datetime_20240427_070717_Loss_training_set_size_797545_batch_size_341_hidden_dim_256.pt,10,False,6,6,50,500,50,10,50000,1e-08,60,4,10ops,3,200,100,100,feynman_III_10_19,mom*sqrt(Bx**2+By**2+Bz**2),(0.004*x0**3 + 0.001*x0**2*x2 + 0.019*x0**2 + 0.748*x0*x1**2 + 0.194*x0*x1*x2 + 0.268*x0*x1*x3 + 0.004*x0*x1 + 0.754*x0*x2**2 + 0.307*x0*x2*x3 + 0.777*x0*x3**2 + 0.001*x1**2*x2 + 0.004*x1**2*x3 + 0.001*x1*x3 + 0.002*x2**2*x3 + 0.003*x3**3 + 0.001*x3**2)/(-0.001*x0**3 + 0.001*x0**2*x3 + 0.009*x0**2 - 0.007*x0*x1 - 0.003*x0*x2 - 0.011*x0*x3 + 0.008*x0 - 0.002*x1**3 - 0.002*x1**2*x3 + 0.043*x1**2 + 0.001*x1*x2**2 + 0.006*x1*x2*x3 - 0.047*x1*x2 + 0.001*x1*x3**2 - 0.031*x1*x3 + 0.544*x1 - 0.002*x2**3 - 0.002*x2**2*x3 + 0.041*x2**2 - 0.021*x2*x3 + 0.55*x2 - 0.003*x3**3 + 0.038*x3**2 + 0.623*x3 + 0.066),0.0010506581824987885,0.0012990700086835873,0.0012997206286389348,0.9999982505069732,0.9999983107262875,False,8.63,70,62,0.0010796853376621965,0.9999988342795716,0.9999987937709357,(0.011*x0**3 + 0.011*x0**2*x1 + 0.008*x0**2*x2 + 0.017*x0**2 + 0.752*x0*x1**2 + 0.203*x0*x1*x2 + 0.272*x0*x1*x3 + 0.005*x0*x1 + 0.755*x0*x2**2 + 0.302*x0*x2*x3 + 0.781*x0*x3**2 + 0.001*x0*x3 - 0.002*x0 - 0.002*x1**3 + 0.006*x1**2*x2 + 0.009*x1**2*x3 + 0.005*x1*x2**2 - 0.028*x1*x2*x3 + 0.005*x1*x2 + 0.007*x1*x3 - 0.002*x2**3 + 0.01*x2**2*x3 - 0.002*x2**2 + 0.004*x2*x3 + 0.001*x3**3 + 0.003*x3**2 + 0.001*x3 - 0.001)/(-0.001*x0**3 + 0.012*x0**2 + 0.001*x0*x1*x2 + 0.001*x0*x1*x3 - 0.006*x0*x1 + 0.001*x0*x2*x3 - 0.006*x0*x2 - 0.012*x0*x3 + 0.022*x0 - 0.002*x1**3 - 0.001*x1**2*x3 + 0.043*x1**2 + 0.001*x1*x2**2 + 0.005*x1*x2*x3 - 0.044*x1*x2 - 0.031*x1*x3 + 0.546*x1 - 0.002*x2**3 - 0.001*x2**2*x3 + 0.042*x2**2 - 0.024*x2*x3 + 0.553*x2 - 0.002*x3**3 + 0.038*x3**2 + 0.617*x3 + 0.074),11364
1,0,4,0,3,[1],[1],1,[],3,1,False,48,1000000,500,ParFamTorch,0.0,0.0,12345,0.0001,10,0,basinhopping,1,0.01,,BFGS,100,0.001,1,False,4,0,0,cpu,True,10,1e-05,Flexible dimension/full_19_big_training_sets/20240427_070711_5M/Datetime_20240427_070717_Loss_training_set_size_797545_batch_size_341_hidden_dim_256.pt,10,False,6,6,50,500,50,10,50000,1e-08,60,4,10ops,3,200,100,100,feynman_III_12_43,n*(h/(2*pi)),0.159*x0*x1,7.332147649311816e-08,7.622648779363448e-08,7.738282825787313e-08,0.9999999999999942,0.999999999999994,True,0.371,13,1,7.73898682087949e-08,0.999999999999994,0.9999999999999941,0.159*x0*x1,719
2,0,4,0,3,[1],[1],1,[],3,1,False,48,1000000,500,ParFamTorch,0.0,0.0,12345,0.0001,10,0,basinhopping,1,0.01,,BFGS,100,0.001,1,False,4,0,0,cpu,True,10,1e-05,Flexible dimension/full_19_big_training_sets/20240427_070711_5M/Datetime_20240427_070717_Loss_training_set_size_797545_batch_size_341_hidden_dim_256.pt,10,False,6,6,50,500,50,10,50000,1e-08,60,4,10ops,3,200,100,100,feynman_III_13_18,2*E_n*d**2*k/(h/(2*pi)),(-0.001*x0**3*x1 + 0.007*x0**3*x2 - 0.006*x0**3*x3 - 0.005*x0**3 + 0.01*x0**2*x1**2 + 0.009*x0**2*x1*x2 + 0.002*x0**2*x1*x3 + 0.008*x0**2*x1 + 0.004*x0**2*x2**2 - 0.01*x0**2*x2*x3 + 0.004*x0**2*x2 + 0.01*x0**2*x3**2 - 0.021*x0**2*x3 - 0.009*x0*x1**3 - 12.563*x0*x1**2*x2 - 0.009*x0*x1**2*x3 - 0.007*x0*x1**2 + 0.001*x0*x1*x2**2 - 0.003*x0*x1*x2*x3 - 0.005*x0*x1*x2 + 0.001*x0*x1*x3**2 + 0.012*x0*x1*x3 - 0.001*x0*x1 - 0.005*x0*x2**3 - 0.003*x0*x2**2*x3 - 0.009*x0*x2**2 - 0.001*x0*x2*x3**2 + 0.002*x0*x2*x3 + 0.006*x0*x2 + 0.007*x0*x3**3 - 0.014*x0*x3**2 - 0.004*x0*x3 + 0.019*x0 - 0.004*x1**3*x2 + 0.012*x1**3*x3 - 0.002*x1**3 - 0.012*x1**2*x2**2 - 0.006*x1**2*x2*x3 + 0.009*x1**2*x2 - 0.002*x1**2*x3**2 + 0.001*x1**2*x3 + 0.005*x1*x2**3 + 0.008*x1*x2**2*x3 - 0.007*x1*x2**2 + 0.014*x1*x2*x3**2 + 0.002*x1*x2*x3 - 0.011*x1*x2 - 0.012*x1*x3**3 - 0.005*x1*x3**2 + 0.01*x1*x3 - 0.008*x1 - 0.003*x2**3*x3 + 0.009*x2**3 + 0.012*x2**2*x3**2 + 0.003*x2**2*x3 - 0.002*x2**2 - 0.018*x2*x3**3 - 0.002*x2*x3**2 - 0.02*x2*x3 - 0.007*x2 + 0.036*x3**3 - 0.004*x3 - 0.007)/(0.001*x0 - 0.001*x1 - 1.0*x3),0.00019102551597279788,0.0002524188951694758,0.00024946031340438465,0.9999999388937078,0.999999937769552,False,7.938,71,2,1.0184895706201469e-07,0.9999999999999897,0.9999999999999901,12.566*x0*x1**2*x2/x3,9940
