,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_test_17,0.016406477542867413,0.026134884220030238,0.0,4945.869
1,feynman_test_18,0.013489283277972228,0.016878054387787618,0.0,4859.171
2,feynman_test_19,0.013243859711675625,0.028139260385269524,0.0,4838.738
3,feynman_test_2,0.040403132029052255,0.05440229091771119,0.0,4858.046
4,feynman_test_20,0.03372247393143007,0.15997467907600332,0.0,5150.533
5,feynman_test_3,0.02530360839673759,0.025808677190706276,0.0,4812.145
6,feynman_test_4,0.058219428463971476,0.06019939090335579,0.0,4888.034
7,feynman_test_5,0.02370986243174124,0.023879372046403002,0.0,4803.748
8,feynman_test_6,0.04030360146478387,0.04521981638257718,0.0,5075.035
9,feynman_test_7,0.0472189750760544,0.04811565660763037,0.0,4859.235
10,feynman_test_8,0.03146130779874601,0.03388422134046046,0.0,4802.527
11,feynman_test_9,0.01658847447729316,0.01794395130592834,0.0,4805.577
