,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_10_19,1.8519903015632445e-07,1.8745534756567194e-07,1.0,271.32975
1,feynman_III_12_43,7.832011906600896e-08,7.627775563006108e-08,1.0,3.2307500000000005
2,feynman_III_13_18,1.8744897551564192e-05,1.823011731657173e-05,1.0,25.51175
3,feynman_III_14_14,0.0010092744843308622,0.001899956356168589,0.25,3763.7070000000003
4,feynman_III_15_12,2.2906268675253585e-05,2.3755875801250233e-05,1.0,522.7995000000001
5,feynman_III_15_14,0.00038315659621476956,0.0005014335251339193,0.25,3323.4742499999998
6,feynman_III_15_27,1.7858668848418278e-05,2.0943827746399204e-05,1.0,24.283
7,feynman_III_17_37,5.2571100679325054e-05,5.3913882685216684e-05,0.75,2609.5025
8,feynman_III_19_51,0.012682175215399369,0.07091279848262956,0.0,4838.98475
9,feynman_III_21_20,1.2022020198291401e-05,1.3459249332934725e-05,1.0,33.723
10,feynman_III_4_32,0.0005559654949338478,0.0006980535022044041,0.0,4818.108
11,feynman_III_4_33,0.00020385158632270475,0.0002798733943431958,0.0,4818.09725
12,feynman_III_7_38,2.2988889999849688e-05,2.509500595829258e-05,1.0,10.445
13,feynman_III_8_54,2.72614389571955e-05,2.8830542145046518e-05,1.0,369.92175000000003
14,feynman_III_9_52,0.04898688985733113,0.06291108564895324,0.0,4878.3857499999995
15,feynman_II_10_9,1.569347927680341e-05,1.8301860805227845e-05,1.0,303.23725
16,feynman_II_11_20,0.0001222276789435623,0.00018032507347948463,0.25,3621.63425
17,feynman_II_11_27,0.00021927845091890638,0.00026003985391716495,0.5,2435.0495
18,feynman_II_11_28,1.9177305012100673e-05,1.8582197942982232e-05,1.0,719.6175
19,feynman_II_11_3,0.00035668713243354857,0.0006219366562523037,0.5,2474.9975
