,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_I_12_5,7.43917944727718e-08,7.80362273439737e-08,1.0,9.874
1,feynman_I_13_12,3.142019053753065e-05,4.5432764274368166e-05,1.0,188.686
2,feynman_I_13_4,9.580443230688535e-08,9.66846660366098e-08,1.0,17.257
3,feynman_I_14_3,8.091018851861893e-08,7.990243304261205e-08,1.0,10.417
4,feynman_I_14_4,1.0824530096883833e-07,1.0331202010794461e-07,1.0,8.765
5,feynman_I_15_10,0.00023191815954555235,0.00023645571134822642,0.0,3882.309
6,feynman_I_15_3t,0.0007451382581021675,0.0009677643192359241,0.0,4824.173
7,feynman_I_15_3x,0.0007254007082425839,0.0007235677593040112,0.0,4803.193
8,feynman_I_16_6,1.7061402358533323e-05,1.8649553001359945e-05,1.0,72.018
9,feynman_I_18_12,4.207860775368436e-08,4.4227364110779806e-08,1.0,815.059
10,feynman_I_18_14,1.895170098342154e-07,1.993823463293411e-07,1.0,2627.725
11,feynman_I_18_4,3.7103965293786336e-06,3.796935026243959e-06,1.0,29.932
12,feynman_I_24_6,0.001192567342566201,0.0012871131024296315,0.0,4881.176
13,feynman_I_25_13,6.998412654143867e-08,6.982746405450385e-08,1.0,12.452
14,feynman_I_26_2,0.009252027244650874,0.012660278424792639,0.0,2610.856
15,feynman_I_27_6,2.6266233905761397e-05,2.9776898273735116e-05,1.0,57.718
