,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_11_28,1+n*alpha/(1-(n*alpha/3)),(0.632*x0*x1 + 0.949)/(-0.316*x0*x1 + 0.949),4.9192537934282455e-06,5.1043554804398855e-06,5.106708329585476e-06,0.9999999999740381,0.9999999999739215,True,45.217,12,4,5.502643762539722e-08,0.999999999999997,0.9999999999999968,(0.632*x0*x1 + 0.949)/(-0.316*x0*x1 + 0.949),32854
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_11_3,q*Ef/(m*(omega_0**2-omega**2)),(0.703*x0*x1 - 0.001*x0*x2 + 0.003*x0*x4 - 0.001*x1*x2 - 0.001*x1*x3 + 0.003*x1*x4 - 0.001*x2*x4 - 0.001*x3*x4)/(-0.001*x0**3 + 0.001*x0**2*x1 - 0.001*x0**2*x3 + 0.004*x0**2*x4 + 0.001*x0*x1**2 - 0.001*x0*x1*x2 - 0.001*x0*x1*x3 - 0.001*x0*x1*x4 - 0.001*x0*x1 + 0.001*x0*x2**2 + 0.002*x0*x2*x3 - 0.004*x0*x2*x4 + 0.001*x0*x2 + 0.002*x0*x3**2 - 0.004*x0*x3*x4 - 0.004*x0*x3 + 0.002*x0*x4**2 - 0.008*x0*x4 + 0.013*x0 - 0.002*x1**3 + 0.001*x1**2*x3 + 0.003*x1**2*x4 + 0.002*x1**2 + 0.002*x1*x2**2 + 0.001*x1*x2*x3 - 0.004*x1*x2*x4 + 0.001*x1*x2 + 0.001*x1*x3**2 - 0.004*x1*x3*x4 - 0.006*x1*x3 + 0.002*x1*x4**2 - 0.003*x1*x4 + 0.009*x1 - 0.004*x2**2*x3 + 0.001*x2**2*x4 + 0.003*x2**2 + 0.7*x2*x3**2 + 0.013*x2*x3*x4 + 0.005*x2*x3 - 0.708*x2*x4**2 + 0.003*x2*x4 - 0.016*x2 + 0.002*x3**2*x4 - 0.006*x3**2 + 0.003*x3*x4**2 - 0.004*x3*x4 + 0.037*x3 - 0.003*x4**3 - 0.01*x4**2 + 0.03*x4 - 0.069),3.8001454788872825e-05,5.262410267464424e-05,5.541610429051403e-05,0.9999999971135832,0.9999999969290554,True,227.002,77,3,1.5999344418124368e-07,0.9999999999999744,0.9999999999999736,0.707*x0*x1/(0.707*x2*x3**2 - 0.707*x2*x4**2),103911
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_13_17,1/(4*pi*epsilon*c**2)*2*I/r,(0.001*x0**2 + 0.001*x0*x1 - 0.001*x0*x2 + 0.001*x0*x3 - 0.002*x0 + 0.003*x1**3 - 0.003*x1**2*x2 - 0.027*x1**2 + 0.035*x1*x2 + 0.079*x1 + 0.002*x2**2 - 0.119*x2 - 0.002*x3**2 + 0.006*x3 - 0.083)/(0.003*x0**3 + 0.023*x0**2*x1 - 0.004*x0**2*x2 + 0.001*x0**2*x3 - 0.029*x0**2 - 0.021*x0*x1**2 - 0.927*x0*x1*x3 - 0.081*x0*x1 - 0.007*x0*x2**2 + 0.022*x0*x2*x3 + 0.066*x0*x2 - 0.002*x0*x3**2 + 0.301*x0*x3 - 0.02*x0 + 0.007*x1**3 - 0.005*x1**2*x2 - 0.014*x1**2*x3 - 0.015*x1**2 - 0.005*x1*x2**2 - 0.008*x1*x2*x3 + 0.062*x1*x2 + 0.012*x1*x3**2 - 0.004*x1*x3 + 0.034*x1 + 0.007*x2**3 - 0.006*x2**2*x3 - 0.055*x2**2 + 0.046*x2*x3 + 0.094*x2 - 0.001*x3**3 - 0.004*x3**2 - 0.066*x3 - 0.114),0.003329698966498432,0.004823404213894234,0.004751279001479335,0.9999763603093964,0.9999774253478501,False,4804.512,70,43,0.004820780466889384,0.99997676007569,0.9999672935331209,(0.001*x0 + 0.003*x1**3 - 0.004*x1**2*x2 - 0.026*x1**2 + 0.035*x1*x2 + 0.077*x1 - 0.117*x2 + 0.001*x3 - 0.079)/(0.001*x0**3 + 0.011*x0**2*x1 - 0.012*x0**2 - 0.008*x0*x1**2 - 0.936*x0*x1*x3 - 0.042*x0*x1 - 0.007*x0*x2**2 + 0.019*x0*x2*x3 + 0.046*x0*x2 + 0.002*x0*x3**2 + 0.296*x0*x3 - 0.016*x0 + 0.005*x1**3 + 0.004*x1**2*x2 - 0.015*x1**2*x3 - 0.028*x1**2 - 0.002*x1*x2**2 - 0.001*x1*x2*x3 + 0.016*x1*x2 + 0.008*x1*x3**2 - 0.008*x1*x3 + 0.048*x1 + 0.007*x2**3 - 0.01*x2**2*x3 - 0.049*x2**2 + 0.064*x2*x3 + 0.092*x2 - 0.01*x3**2 - 0.071*x3 - 0.09),881925
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_13_23,rho_c_0/sqrt(1-v**2/c**2),1.169*x0*sqrt(Abs((0.001*x0*x1 - 0.002*x1**2 + 0.002*x1 + 0.514*x2**2 + 0.001*x2)/(0.001*x0*x1 + 0.001*x0 - 0.711*x1**2 + 0.018*x1 + 0.703*x2**2 + 0.002*x2 - 0.013))),4.0074579430604784e-05,4.411825257472617e-05,4.360688682149303e-05,0.9999999981521756,0.9999999980984394,True,822.774,24,6,4.1655410677687014e-05,0.9999999982648268,0.9999999982597721,0.839632955522828*x0*sqrt(Abs(x2**2/(0.71*x1**2 - 0.016*x1 - 0.704*x2**2 + 0.012))),377894
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_13_34,rho_c_0*v/sqrt(1-v**2/c**2),-0.001*x0**2*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 1.355*x0*x1*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 0.001*x0*x2*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 0.008*x0*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) - 0.004*x1**2*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 0.002*x1*x2*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 0.001*x1*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) - 0.001*x2*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))) + 0.004*sqrt(Abs((-0.002*x0**2 - 0.017*x0*x2 + 0.012*x0 - 0.014*x1*x2 + 0.001*x1 + 0.399*x2**2 + 0.002*x2 + 0.002)/(0.003*x0**2 - 0.042*x0*x1 + 0.044*x0*x2 - 0.012*x0 + 0.638*x1**2 + 0.086*x1*x2 + 0.14*x1 - 0.746*x2**2 - 0.067*x2 - 0.04))),0.00012888368262963643,0.00013958078093347925,0.0001436939901654647,0.9999999806028671,0.9999999793520372,False,3865.583,30,14,0.00018174100433199672,0.9999999669702073,0.9999999686667606,1.357*x0*x1*sqrt(Abs((0.013*x0*x2 - 0.036*x0 + 0.028*x1*x2 - 0.402*x2**2)/(0.005*x0*x1 - 0.024*x0*x2 + 0.06*x0 - 0.653*x1**2 - 0.065*x1*x2 - 0.115*x1 + 0.74*x2**2 + 0.009*x2 + 0.062))),999731
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_15_4,-mom*B*cos(theta),-1.0*x0*x1*cos(1.0*x2),5.5604306650998704e-08,5.501285556360391e-08,5.485408210539695e-08,0.9999999999999969,0.999999999999997,True,782.388,34,2,5.6306975325005646e-08,0.9999999999999968,0.9999999999999968,-1.0*x0*x1*cos(1.0*x2),346696
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_15_5,-p_d*Ef*cos(theta),-1.0*x0*x1*cos(1.0*x2),5.5472457567218385e-08,5.395130723368756e-08,5.561877091896617e-08,0.999999999999997,0.9999999999999969,True,777.11,34,2,5.6133969233649616e-08,0.9999999999999969,0.9999999999999968,-1.0*x0*x1*cos(1.0*x2),341216
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_21_32,q/(4*pi*epsilon*r*(1-v/c)),(0.001*x0*x3 - 0.056*x0*x4 - 0.003*x0 - 0.001*x1*x3 + 0.001*x3 + 0.001*x4 + 0.001)/(-0.001*x0**3 - 0.003*x0**2*x3 + 0.012*x0**2 - 0.001*x0*x1**2 + 0.001*x0*x1*x2 + 0.007*x0*x1*x3 - 0.01*x0*x1 + 0.007*x0*x2*x3 - 0.016*x0*x2 - 0.002*x0*x3**2 + 0.002*x0*x3*x4 + 0.002*x0*x3 - 0.005*x0*x4 - 0.017*x0 + 0.001*x1**3 + 0.001*x1**2*x2 - 0.005*x1**2*x3 + 0.003*x1**2 + 0.001*x1*x2**2 + 0.699*x1*x2*x3 - 0.707*x1*x2*x4 + 0.007*x1*x3**2 - 0.003*x1*x3*x4 - 0.005*x1*x3 + 0.007*x1*x4 - 0.007*x1 + 0.001*x2**3 - 0.004*x2**2*x3 + 0.002*x2**2 + 0.005*x2*x3**2 - 0.002*x2*x3*x4 - 0.009*x2*x3 + 0.005*x2*x4 + 0.019*x2 + 0.003*x3**3 + 0.001*x3**2*x4 - 0.042*x3**2 - 0.002*x3*x4 + 0.09*x3 + 0.002*x4**2 - 0.006*x4 - 0.027),0.0002324434041867362,0.0016304879682503607,0.001071213895946906,0.999999161293281,0.9999988525007891,False,4862.53,77,20,9.211221285827236e-05,0.9999999915153402,0.9999999921669799,-0.056*x0*x4/(0.703*x1*x2*x3 - 0.703*x1*x2*x4 + 0.001*x1*x3 - 0.001*x1 + 0.001*x2**2 + 0.005*x2*x3**2 - 0.014*x2*x3 + 0.007*x2 + 0.008*x3**3 - 0.045*x3**2 + 0.079*x3 - 0.042),866871
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_24_17,sqrt(omega**2/c**2-pi**2/d**2),-0.035*x2 + 2.876*exp((0.004*x0**2 - 0.014*x0*x1 + 0.289*x0*x2 - 0.121*x0 - 0.732*x1*x2 - 0.001*x1 - 0.001*x2**2 - 0.001)/(-0.013*x0**2 + 0.135*x0*x1 + 0.116*x0*x2 + 0.009*x0 - 0.284*x1**2 + 0.582*x1*x2 - 0.727*x1 - 0.009*x2**2 + 0.06*x2 - 0.132)),0.0014076129988009566,0.0015557676935191802,0.0016202606597350217,0.9999977492951871,0.9999973747553945,False,3847.356,25,20,0.0013174638992974697,0.9999982642888741,0.9999983668365441,-0.027*x2 + 2.859*exp((-0.004*x0**2 + 0.01*x0*x1 + 0.276*x0*x2 - 0.103*x0 - 0.719*x1*x2 + 0.031*x1 + 0.004*x2 - 0.04)/(-0.019*x0**2 + 0.123*x0*x1 + 0.111*x0*x2 + 0.038*x0 - 0.236*x1**2 + 0.545*x1*x2 - 0.773*x1 - 0.007*x2**2 + 0.053*x2 - 0.134)),995018
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_II_27_16,epsilon*c*Ef**2,1.0*x0*x1*x2**2,1.016085752077765e-07,1.0283635323481596e-07,1.0173854728390531e-07,0.9999999999999891,0.9999999999999897,True,10.648,32,1,1.0175860543282174e-07,0.9999999999999897,0.9999999999999891,1.0*x0*x1*x2**2,7079
