,seed,model,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,relative_l2_train,relative_l2_val,success,training_time
0,1,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2630975071632014,2727.061297158113,0.26666666666666666,8.3712
1,1,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,18.233999999999998
2,1,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,34.78959999999999
3,1,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.263190470323135,2727.0613802064026,0.26666666666666666,67.92906666666666
4,1,ParFamTorch,500,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2427128793344285,2727.0426412745683,0.26666666666666666,163.06146666666666
5,1,ParFamTorch,1000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2122345638562801,2727.011163711351,0.26666666666666666,320.29066666666665
6,1,ParFamTorch,2000,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21762715004290667,0.22131849574028875,0.4,723.2047333333334
7,12,ParFamTorch,20,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,7.805466666666666
8,12,ParFamTorch,50,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,17.380999999999997
9,12,ParFamTorch,100,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2101745465805133,2054.6792651133223,0.3333333333333333,33.36893333333333
10,12,ParFamTorch,200,0,0.0,0.0,dual_annealing,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21027508320037397,2054.6793792582253,0.3333333333333333,65.15146666666666
