,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_4_33,0.16586186717268905,0.16667304069933933,0.0,63.82067346938775
1,feynman_III_8_54,0.9360786641396492,0.9476200915216008,0.0,22.158469387755105
2,feynman_II_15_4,0.1368727865197884,0.1449655758021776,0.12244897959183673,74.89679591836735
3,feynman_II_24_17,0.09169953980016352,0.09671491822826658,0.0,88.18838775510204
4,feynman_II_34_29b,3.1549631297140207e-05,3.768107145223675e-05,1.0,316.43783673469386
5,feynman_I_12_5,7.71383627487786e-08,7.737060511368177e-08,1.0,9.462326530612245
6,feynman_I_18_4,0.003965811984693356,0.004228739161872109,0.5102040816326531,23.311387755102043
7,feynman_I_38_12,0.0038074381307393822,0.0060738666066686865,0.12244897959183673,126.33291836734693
8,feynman_I_39_22,8.731521801470515e-05,9.861094566254673e-05,0.7551020408163265,56.097530612244896
9,feynman_I_40_1,0.2628394275374498,31526.537186150483,0.0,326.4348367346939
10,feynman_I_43_31,7.966897518023733e-08,7.988960224237367e-08,1.0,18.533428571428573
11,feynman_I_8_14,0.45916318754749946,0.4928588277238517,0.061224489795918366,23.353653061224488
12,feynman_I_9_18,0.14717897401046615,0.14934902637275163,0.0,1193.1454285714287
13,feynman_test_17,1.140296622014672,1.132291752569522,0.0,3.930061224489796
14,feynman_test_18,0.0023283153373413064,0.005901916142226753,0.061224489795918366,501.77214285714285
